year,net_income,unit,ticker,target
2007,1.135B,B,XRX,0
2006,1.21B,B,XRX,1
2005,978.00M,M,XRX,1
2004,859.00M,M,XRX,1
2003,360.00M,M,XRX,1
2002,91.00M,M,XRX,1
2001,-96.00M,M,XRX,1
2000,-273.00M,M,XRX,0
1999,844.00M,M,XRX,1
1998,273.00M,M,XRX,0
1997,1.452B,B,XRX,
2018,779.70M,M,UHS,1
2017,752.30M,M,UHS,1
2016,702.41M,M,UHS,1
2015,680.53M,M,UHS,1
2014,545.34M,M,UHS,1
2013,510.73M,M,UHS,1
2012,443.45M,M,UHS,1
2011,398.17M,M,UHS,1
2010,230.18M,M,UHS,0
2009,260.37M,M,UHS,1
2008,199.38M,M,UHS,1
2007,170.39M,M,UHS,0
2006,259.46M,M,UHS,1
2005,240.84M,M,UHS,1
2004,169.49M,M,UHS,0
2003,199.27M,M,UHS,1
2002,175.36M,M,UHS,1
2001,99.74M,M,UHS,1
2000,93.36M,M,UHS,1
1999,77.80M,M,UHS,0
1998,79.60M,M,UHS,
2018,11.99B,B,UNH,1
2017,10.56B,B,UNH,1
2016,7.017B,B,UNH,1
2015,5.813B,B,UNH,1
2014,5.619B,B,UNH,0
2013,5.625B,B,UNH,1
2012,5.526B,B,UNH,1
2011,5.142B,B,UNH,1
2010,4.634B,B,UNH,1
2009,3.822B,B,UNH,1
2008,2.977B,B,UNH,0
2007,4.654B,B,UNH,1
2006,4.159B,B,UNH,1
2005,3.083B,B,UNH,1
2004,2.411B,B,UNH,1
2003,1.655B,B,UNH,1
2002,1.352B,B,UNH,1
2001,913.00M,M,UNH,1
2000,736.00M,M,UNH,1
1999,568.00M,M,UNH,
2018,-594.00M,M,CVS,0
2017,6.622B,B,CVS,1
2016,5.317B,B,CVS,1
2015,5.237B,B,CVS,1
2014,4.644B,B,CVS,1
2013,4.592B,B,CVS,1
2012,3.864B,B,CVS,1
2011,3.462B,B,CVS,1
2010,3.427B,B,CVS,0
2009,3.696B,B,CVS,1
2008,3.212B,B,CVS,1
2007,2.637B,B,CVS,1
2006,1.369B,B,CVS,1
2005,1.225B,B,CVS,1
2004,918.80M,M,CVS,1
2003,847.30M,M,CVS,1
2002,716.60M,M,CVS,1
2001,413.20M,M,CVS,0
2000,746.00M,M,CVS,1
1999,635.10M,M,CVS,
